m.z,Number.of.peaks,Sample,Source
302.28,7,NASA_A,??
314.28,2,NASA_A,??
316.3,7,NASA_A,??
328.3,3,NASA_A,??
330.32,11,NASA_A,??
331.21,15,NASA_A,??
389.25,9,NASA_A,??
447.29,1,NASA_A,??
331.21,11,NASA_B,??
389.25,1,NASA_B,??
447.29,1,NASA_B,??
301.14,1,NASA_C,??
307.12,1,NASA_C,??
323.15,1,NASA_C,??
323.18,1,NASA_C,??
327.01,1,NASA_C,??
329,1,NASA_C,??
329.01,1,NASA_C,??
333.13,1,NASA_C,??
335.15,1,NASA_C,??
348.99,1,NASA_C,??
349.16,1,NASA_C,??
355.07,10,NASA_C,??
363.18,3,NASA_C,??
365.19,2,NASA_C,??
371.1,24,NASA_C,??
372.1,10,NASA_C,??
393.08,2,NASA_C,??
445.12,7,NASA_C,??
372.1,10,NASA_C,??
330.75,56,NASA_D,??
332.75,63,NASA_D,??
334.74,16,NASA_D,??
334.75,17,NASA_D,??
334.78,16,NASA_D,??
348.76,10,NASA_D,??
348.99,9,NASA_D,??
350.76,10,NASA_D,??
350.98,7,NASA_D,??
350.99,7,NASA_D,??
352.75,11,NASA_D,??
352.76,11,NASA_D,??
359.77,14,NASA_D,??
377.78,12,NASA_D,??
393.08,20,NASA_D,??
413.27,8,NASA_D,??
467.1,22,NASA_D,??
301.04,37,NASA_E,??
305.01,8,NASA_E,??
323.03,28,NASA_E,??
327.01,2,NASA_E,??
329,2,NASA_E,??
329.01,2,NASA_E,??
353.14,68,NASA_E,??
355.07,4,NASA_E,??
365.1,6,NASA_E,??
365.11,4,NASA_E,??
371.1,9,NASA_E,??
394.19,1,NASA_E,??
402.23,10,NASA_E,??
445.12,8,NASA_E,??
463.22,6,NASA_E,??
465.22,19,NASA_E,??
485.2,14,NASA_E,??
485.21,19,NASA_E,??
487.2,52,NASA_E,??
304.3,7,Coal,Dead
305.16,10,Coal,Dead
326.38,8,Coal,Dead
379.32,11,Coal,Dead
380.32,10,Coal,Dead
392.21,2,Coal,Dead
426.17,2,Coal,Dead
427.17,4,Coal,Dead
428.16,2,Coal,Dead
428.17,2,Coal,Dead
429.17,4,Coal,Dead
448.15,3,Coal,Dead
305.16,3,Limestone,Dead
306.18,8,Limestone,Dead
317.11,2,Limestone,Dead
317.12,3,Limestone,Dead
321.13,2,Limestone,Dead
348.99,4,Limestone,Dead
349.18,4,Limestone,Dead
350.99,3,Limestone,Dead
364.96,6,Limestone,Dead
365.1,6,Limestone,Dead
365.11,9,Limestone,Dead
365.16,10,Limestone,Dead
365.28,9,Limestone,Dead
366.96,3,Limestone,Dead
369.23,1,Limestone,Dead
381.08,2,Limestone,Dead
384.22,9,Limestone,Dead
385.23,2,Limestone,Dead
386.23,4,Limestone,Dead
393.21,3,Limestone,Dead
402.23,7,Limestone,Dead
409.18,3,Limestone,Dead
419.28,4,Limestone,Dead
435.25,2,Limestone,Dead
437.24,3,Limestone,Dead
453.21,3,Limestone,Dead
458.35,9,Limestone,Dead
463.3,3,Limestone,Dead
464.31,1,Limestone,Dead
479.28,1,Limestone,Dead
480.28,2,Limestone,Dead
481.26,3,Limestone,Dead
485.2,6,Limestone,Dead
487.2,5,Limestone,Dead
497.24,3,Limestone,Dead
305.16,6,Granite,Dead
318.91,16,Granite,Dead
325.18,19,Granite,Dead
327.95,13,Granite,Dead
328.01,2,Granite,Dead
328.94,4,Granite,Dead
335.92,6,Granite,Dead
336.92,8,Granite,Dead
345.96,11,Granite,Dead
346.95,11,Granite,Dead
348.99,10,Granite,Dead
350.99,17,Granite,Dead
352.98,18,Granite,Dead
379.93,11,Granite,Dead
380.93,15,Granite,Dead
393.08,6,Granite,Dead
393.93,8,Granite,Dead
394.93,9,Granite,Dead
467.1,4,Granite,Dead
313.2,5,Quartz,Dead
313.21,5,Quartz,Dead
341.2,7,Quartz,Dead
341.24,5,Quartz,Dead
369.23,8,Quartz,Dead
395.28,9,Quartz,Dead
448.15,7,Quartz,Dead
491.3,10,Ala_Arg,Abiotic
492.3,15,Ala_Arg,Abiotic
332.33,20,Ecoli,Biological
367.06,20,Ecoli,Biological
367.11,20,Ecoli,Biological
403.29,20,Ecoli,Biological
406.21,20,Ecoli,Biological
494.77,21,Ecoli,Biological
332.22,22,Ecoli,Biological
318.16,23,Ecoli,Biological
414.2,23,Ecoli,Biological
336.25,24,Ecoli,Biological
453.21,24,Ecoli,Biological
441.29,25,Ecoli,Biological
338.16,26,Ecoli,Biological
385.08,26,Ecoli,Biological
414.27,26,Ecoli,Biological
482.26,26,Ecoli,Biological
309.11,27,Ecoli,Biological
439.2,27,Ecoli,Biological
359.1,28,Ecoli,Biological
438.24,28,Ecoli,Biological
320.09,29,Ecoli,Biological
320.25,29,Ecoli,Biological
488.27,29,Ecoli,Biological
353.27,30,Ecoli,Biological
320.22,31,Ecoli,Biological
320.11,32,Ecoli,Biological
349.99,32,Ecoli,Biological
373.16,32,Ecoli,Biological
380.14,34,Ecoli,Biological
425.27,34,Ecoli,Biological
437.36,40,Ecoli,Biological
360.32,41,Ecoli,Biological
369.12,46,Ecoli,Biological
370.25,47,Ecoli,Biological
393.08,49,Ecoli,Biological
306.16,50,Ecoli,Biological
384.09,50,Ecoli,Biological
318.24,51,Ecoli,Biological
395.27,51,Ecoli,Biological
384.7,52,Ecoli,Biological
373.14,58,Ecoli,Biological
472.76,60,Ecoli,Biological
480.24,61,Ecoli,Biological
497.23,64,Ecoli,Biological
436.21,74,Ecoli,Biological
304.25,10,Urinary Peptides,Biological
309.2,29,Urinary Peptides,Biological
322.08,19,Urinary Peptides,Biological
327.01,1,Urinary Peptides,Biological
329,1,Urinary Peptides,Biological
329.01,1,Urinary Peptides,Biological
331,3,Urinary Peptides,Biological
331.15,4,Urinary Peptides,Biological
344.05,53,Urinary Peptides,Biological
355.07,4,Urinary Peptides,Biological
355.2,6,Urinary Peptides,Biological
362.06,49,Urinary Peptides,Biological
371.1,6,Urinary Peptides,Biological
372.1,13,Urinary Peptides,Biological
377.15,24,Urinary Peptides,Biological
393.12,19,Urinary Peptides,Biological
393.13,21,Urinary Peptides,Biological
407.03,58,Urinary Peptides,Biological
423.01,41,Urinary Peptides,Biological
426.34,8,Urinary Peptides,Biological
429.09,8,Urinary Peptides,Biological
432.28,5,Urinary Peptides,Biological
440.36,6,Urinary Peptides,Biological
445.12,6,Urinary Peptides,Biological
446.12,20,Urinary Peptides,Biological
447.12,23,Urinary Peptides,Biological
459.28,6,Urinary Peptides,Biological
470.37,7,Urinary Peptides,Biological
476.3,4,Urinary Peptides,Biological
476.31,4,Urinary Peptides,Biological
484.38,10,Urinary Peptides,Biological
487.21,33,Urinary Peptides,Biological
304.3,3,Antartic Dust,??
313.2,5,Antartic Dust,??
313.21,5,Antartic Dust,??
326.38,5,Antartic Dust,??
341.2,14,Antartic Dust,??
379.32,3,Antartic Dust,??
380.32,24,Antartic Dust,??
395.28,8,Antartic Dust,??
463.27,4,GlyArg,Abiotic
464.27,8,GlyArg,Abiotic
309.16,12,Beer,Biological
309.17,17,Beer,Biological
316.13,19,Beer,Biological
316.14,21,Beer,Biological
365.1,9,Beer,Biological
365.11,9,Beer,Biological
381.08,21,Beer,Biological
382.08,4,Beer,Biological
425.22,5,Beer,Biological
425.23,9,Beer,Biological
426.23,13,Beer,Biological
441.2,62,Beer,Biological
471.22,83,Beer,Biological
499.22,25,Beer,Biological
499.23,13,Beer,Biological
327.01,1,MU_15,Abiotic
329,1,MU_15,Abiotic
329.01,1,MU_15,Abiotic
331,1,MU_15,Abiotic
371.1,10,MU_15,Abiotic
402.23,16,MU_15,Abiotic
462.15,12,MU_15,Abiotic
327.01,22,Yeast,Biological
329,8,Yeast,Biological
355.07,48,Yeast,Biological
365.1,2,Yeast,Biological
365.11,2,Yeast,Biological
366.11,6,Yeast,Biological
371.1,39,Yeast,Biological
381.08,2,Yeast,Biological
382.08,11,Yeast,Biological
383.07,20,Yeast,Biological
383.08,21,Yeast,Biological
301.1,9,Yeast_200,Dead
313.1,8,Yeast_200,Dead
327.01,2,Yeast_200,Dead
329,7,Yeast_200,Dead
329.01,1,Yeast_200,Dead
347.09,15,Yeast_200,Dead
355.07,8,Yeast_200,Dead
365.1,3,Yeast_200,Dead
365.11,3,Yeast_200,Dead
371.1,6,Yeast_200,Dead
409.06,14,Yeast_200,Dead
445.12,10,Yeast_200,Dead
301.1,13,Yeast_400,Dead
323.08,6,Yeast_400,Dead
327.01,2,Yeast_400,Dead
329.01,2,Yeast_400,Dead
335.08,4,Yeast_400,Dead
348.99,11,Yeast_400,Dead
350.99,9,Yeast_400,Dead
351.05,3,Yeast_400,Dead
365.1,5,Yeast_400,Dead
365.11,9,Yeast_400,Dead
381.08,2,Yeast_400,Dead
385.12,1,Yeast_400,Dead
393.08,10,Yeast_400,Dead
409.06,10,Yeast_400,Dead
425.14,2,Yeast_400,Dead
445.12,1,Yeast_400,Dead
301.14,5,Aberarie 0y,Biological
301.17,4,Aberarie 0y,Biological
303.15,28,Aberarie 0y,Biological
305.14,8,Aberarie 0y,Biological
305.24,8,Aberarie 0y,Biological
306.25,5,Aberarie 0y,Biological
307.26,12,Aberarie 0y,Biological
311.19,6,Aberarie 0y,Biological
313.17,4,Aberarie 0y,Biological
315.18,5,Aberarie 0y,Biological
317.15,16,Aberarie 0y,Biological
317.16,11,Aberarie 0y,Biological
319.14,23,Aberarie 0y,Biological
323.26,3,Aberarie 0y,Biological
329.16,12,Aberarie 0y,Biological
333.17,12,Aberarie 0y,Biological
333.28,4,Aberarie 0y,Biological
334.18,4,Aberarie 0y,Biological
337.23,9,Aberarie 0y,Biological
345.18,10,Aberarie 0y,Biological
345.19,12,Aberarie 0y,Biological
347.17,13,Aberarie 0y,Biological
347.26,10,Aberarie 0y,Biological
349.18,8,Aberarie 0y,Biological
352.98,3,Aberarie 0y,Biological
357.16,9,Aberarie 0y,Biological
357.19,12,Aberarie 0y,Biological
361.2,4,Aberarie 0y,Biological
363.13,4,Aberarie 0y,Biological
363.21,6,Aberarie 0y,Biological
365.16,6,Aberarie 0y,Biological
373.22,11,Aberarie 0y,Biological
375.18,19,Aberarie 0y,Biological
381.26,9,Aberarie 0y,Biological
383.14,4,Aberarie 0y,Biological
391.16,7,Aberarie 0y,Biological
393.21,6,Aberarie 0y,Biological
393.3,2,Aberarie 0y,Biological
401.22,8,Aberarie 0y,Biological
403.2,21,Aberarie 0y,Biological
411.28,8,Aberarie 0y,Biological
419.19,12,Aberarie 0y,Biological
419.2,10,Aberarie 0y,Biological
429.25,11,Aberarie 0y,Biological
437.24,4,Aberarie 0y,Biological
439.31,5,Aberarie 0y,Biological
457.28,14,Aberarie 0y,Biological
463.3,4,Aberarie 0y,Biological
499.33,11,Aberarie 0y,Biological
303.08,1,Glengoyne 10y,Biological
305.06,5,Glengoyne 10y,Biological
309.07,3,Glengoyne 10y,Biological
309.13,2,Glengoyne 10y,Biological
317.11,2,Glengoyne 10y,Biological
322.06,2,Glengoyne 10y,Biological
327.05,2,Glengoyne 10y,Biological
347.09,3,Glengoyne 10y,Biological
349.09,3,Glengoyne 10y,Biological
363.07,3,Glengoyne 10y,Biological
364.96,4,Glengoyne 10y,Biological
365.16,4,Glengoyne 10y,Biological
366.96,3,Glengoyne 10y,Biological
367.19,3,Glengoyne 10y,Biological
369.22,2,Glengoyne 10y,Biological
381.08,2,Glengoyne 10y,Biological
383.28,2,Glengoyne 10y,Biological
385.2,2,Glengoyne 10y,Biological
387.12,3,Glengoyne 10y,Biological
397.23,3,Glengoyne 10y,Biological
399.25,1,Glengoyne 10y,Biological
401.16,6,Glengoyne 10y,Biological
417.09,4,Glengoyne 10y,Biological
417.13,6,Glengoyne 10y,Biological
417.15,5,Glengoyne 10y,Biological
418.13,3,Glengoyne 10y,Biological
431.17,1,Glengoyne 10y,Biological
435.13,2,Glengoyne 10y,Biological
443.11,1,Glengoyne 10y,Biological
443.15,1,Glengoyne 10y,Biological
443.26,1,Glengoyne 10y,Biological
444.17,1,Glengoyne 10y,Biological
457.13,1,Glengoyne 10y,Biological
459.11,1,Glengoyne 10y,Biological
459.12,1,Glengoyne 10y,Biological
459.24,2,Glengoyne 10y,Biological
481.13,1,Glengoyne 10y,Biological
497.24,1,Glengoyne 10y,Biological
305.06,6,Glengoyne 18y,Biological
305.08,6,Glengoyne 18y,Biological
309.07,3,Glengoyne 18y,Biological
316.09,2,Glengoyne 18y,Biological
321.06,3,Glengoyne 18y,Biological
321.07,2,Glengoyne 18y,Biological
325.07,2,Glengoyne 18y,Biological
325.1,2,Glengoyne 18y,Biological
325.18,2,Glengoyne 18y,Biological
327.05,6,Glengoyne 18y,Biological
327.08,9,Glengoyne 18y,Biological
329.1,1,Glengoyne 18y,Biological
335.07,2,Glengoyne 18y,Biological
347.09,6,Glengoyne 18y,Biological
349.09,2,Glengoyne 18y,Biological
351.07,2,Glengoyne 18y,Biological
353.21,6,Glengoyne 18y,Biological
363.07,4,Glengoyne 18y,Biological
363.1,2,Glengoyne 18y,Biological
363.11,3,Glengoyne 18y,Biological
365.08,7,Glengoyne 18y,Biological
365.16,4,Glengoyne 18y,Biological
381.08,13,Glengoyne 18y,Biological
383.11,4,Glengoyne 18y,Biological
383.28,3,Glengoyne 18y,Biological
385.2,2,Glengoyne 18y,Biological
387.12,8,Glengoyne 18y,Biological
397.09,3,Glengoyne 18y,Biological
397.23,4,Glengoyne 18y,Biological
398.24,3,Glengoyne 18y,Biological
399.1,1,Glengoyne 18y,Biological
403.16,3,Glengoyne 18y,Biological
407.09,2,Glengoyne 18y,Biological
409.11,6,Glengoyne 18y,Biological
411.14,2,Glengoyne 18y,Biological
417.09,9,Glengoyne 18y,Biological
431.15,4,Glengoyne 18y,Biological
431.17,6,Glengoyne 18y,Biological
432.17,4,Glengoyne 18y,Biological
491.19,7,Glengoyne 18y,Biological
381.1,12,Glengoyne 25y,Biological
381.26,15,Glengoyne 25y,Biological
383.12,3,Glengoyne 25y,Biological
387.12,3,Glengoyne 25y,Biological
409.13,5,Glengoyne 25y,Biological
411.15,3,Glengoyne 25y,Biological
413.23,5,Glengoyne 25y,Biological
417.13,7,Glengoyne 25y,Biological
425.29,4,Glengoyne 25y,Biological
429.13,3,Glengoyne 25y,Biological
429.15,4,Glengoyne 25y,Biological
431.17,2,Glengoyne 25y,Biological
435.15,3,Glengoyne 25y,Biological
441.13,5,Glengoyne 25y,Biological
441.15,1,Glengoyne 25y,Biological
441.26,2,Glengoyne 25y,Biological
443.17,1,Glengoyne 25y,Biological
444.17,3,Glengoyne 25y,Biological
447.11,13,Glengoyne 25y,Biological
447.14,1,Glengoyne 25y,Biological
448.14,1,Glengoyne 25y,Biological
451.06,14,Glengoyne 25y,Biological
453.1,3,Glengoyne 25y,Biological
453.21,6,Glengoyne 25y,Biological
458.13,2,Glengoyne 25y,Biological
459.1,5,Glengoyne 25y,Biological
459.11,2,Glengoyne 25y,Biological
459.14,2,Glengoyne 25y,Biological
460.14,4,Glengoyne 25y,Biological
473.12,3,Glengoyne 25y,Biological
481.13,4,Glengoyne 25y,Biological
491.13,3,Glengoyne 25y,Biological
491.19,5,Glengoyne 25y,Biological
303.15,13,Ardberg 10y,Biological
305.08,9,Ardberg 10y,Biological
305.1,15,Ardberg 10y,Biological
305.14,13,Ardberg 10y,Biological
305.24,12,Ardberg 10y,Biological
305.25,9,Ardberg 10y,Biological
307.07,13,Ardberg 10y,Biological
309.13,6,Ardberg 10y,Biological
311.09,3,Ardberg 10y,Biological
317.11,9,Ardberg 10y,Biological
319.1,16,Ardberg 10y,Biological
320.1,9,Ardberg 10y,Biological
321.06,11,Ardberg 10y,Biological
321.24,24,Ardberg 10y,Biological
333.17,14,Ardberg 10y,Biological
345.19,10,Ardberg 10y,Biological
349.09,11,Ardberg 10y,Biological
349.18,3,Ardberg 10y,Biological
353.23,2,Ardberg 10y,Biological
365.16,12,Ardberg 10y,Biological
366.16,12,Ardberg 10y,Biological
366.96,7,Ardberg 10y,Biological
375.17,11,Ardberg 10y,Biological
379.25,13,Ardberg 10y,Biological
381.26,7,Ardberg 10y,Biological
382.26,4,Ardberg 10y,Biological
389.18,11,Ardberg 10y,Biological
391.16,12,Ardberg 10y,Biological
